DATAFLOW,LAST UPDATE,freq,currency,prod_ani,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,RO,2016,179.05,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,RO,2017,155.29,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,RO,2018,177.92,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,RO,2019,166.83,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,RO,2020,225.93,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,RO,2021,259.83,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SI,2012,191.48,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SI,2013,184.98,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SI,2014,180.13,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SI,2015,180.95,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SI,2016,175.90,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SI,2017,182.14,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SI,2018,185.63,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SI,2019,182.74,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SI,2020,173.66,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SI,2021,191.11,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SK,2012,144,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SK,2013,134,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SK,2014,129.00,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SK,2015,131.00,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SK,2016,130.00,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SK,2017,137.00,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SK,2018,238.73,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SK,2019,240.96,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SK,2020,221.20,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,SK,2021,236.76,
